User,"Gender (1 =F, 0=M)",260: Star Wars: Episode IV - A New Hope (1977),1210: Star Wars: Episode VI - Return of the Jedi (1983),356: Forrest Gump (1994),"318: Shawshank Redemption, The (1994)","593: Silence of the Lambs, The (1991)",3578: Gladiator (2000),1: Toy Story (1995),2028: Saving Private Ryan (1998),296: Pulp Fiction (1994),1259: Stand by Me (1986),2396: Shakespeare in Love (1998),2916: Total Recall (1990),780: Independence Day (ID4) (1996),541: Blade Runner (1982),1265: Groundhog Day (1993),"2571: Matrix, The (1999)",527: Schindler's List (1993),"2762: Sixth Sense, The (1999)",1198: Raiders of the Lost Ark (1981),34: Babe (1995)
755,0,1,5,2,,4,4,2,2,,3,2,,5,2,,4,2,5,,
5277,0,5,3,,2,4,2,1,,,4,3,2,2,,2,,5,1,3,
1577,1,,,,5,2,,4,,,1,,1,4,4,1,1,2,3,1,3
4388,0,,3,,,,1,2,3,4,,,4,1,3,5,,5,1,1,2
1202,1,4,3,4,1,4,1,,4,,1,5,1,,4,,3,5,5,,
3823,1,2,4,4,4,,,3,1,4,4,5,2,4,,1,,,3,,2
5448,0,,,3,1,1,4,,5,2,,1,,,3,,1,,,5,2
5347,0,4,,,,3,2,2,,3,,,2,3,2,4,,1,3,5,
4117,1,5,1,,4,2,4,4,4,,1,2,3,1,,5,,,,,5
2765,0,4,2,,5,3,,4,3,4,,,,2,,,2,5,1,,
5450,1,2,1,5,,,5,5,,,,,3,2,,,1,,2,1,4
139,0,3,5,2,,2,,2,,1,,3,,3,,2,5,,,,2
1940,0,2,3,,5,4,,4,5,,,,2,4,,3,,,,5,
3118,1,3,,3,,2,,3,,,4,,1,2,2,3,5,1,,,
4656,1,4,4,,,5,5,2,,3,5,,1,3,,2,,3,,3,1
4796,1,,,1,,3,2,,2,,1,5,,,,5,2,2,4,3,4
6037,0,,,,,4,,2,,2,,2,,,,,4,,,,
3048,1,4,5,1,5,1,1,4,,5,,,,,4,,,2,1,2,5
4790,0,5,1,,,,4,2,1,3,3,3,1,,,,2,,,,
4489,0,1,2,2,4,5,,2,3,2,2,1,,,5,5,4,3,5,3,
,,,,,,,,,,,,,,,,,,,,,
,0.45,3.266666667,3,2.7,3.6,3.0625,2.916666667,2.823529412,3,3,2.636363636,2.909090909,1.916666667,2.769230769,3.222222222,3.166666667,2.833333333,3,2.833333333,2.909090909,3
,,15,14,10,10,16,12,17,11,11,11,11,12,13,9,12,12,12,12,11,10
,,8,5,3,7,7,6,6,4,4,4,3,1,4,4,5,5,4,4,3,4
,,53.33333333,35.71428571,30,70,43.75,50,35.29411765,36.36363636,36.36363636,36.36363636,27.27272727,8.333333333,30.76923077,44.44444444,41.66666667,41.66666667,0.333333333,0.333333333,0.272727273,0.4
,,14,,,,,,16,,,,,,,,,,,,,
,,-0.119004526,-0.314504441,0.522912517,0.888523317,-0.568257571,0.253396382,,0.596849191,0.709842214,-0.610300103,0.10176803,0.163796423,-0.069923018,0.329634257,-0.062858169,-0.721994872,-0.220315223,-0.245769576,-0.309066964,0.811107106
,female rating,37,31,23,30,36,25,41,27,28,17,23,20,29,22,31,24,26,23,26,30
,male rating ,49,42,27,36,49,35,48,33,33,29,32,23,36,29,38,34,36,34,32,30
